Index,wgs_id,run_accession,study_country_concat,simulation_study
195,ERR195,ERR195,Study1,0
196,ERR196,ERR196,Study1,0
197,ERR197,ERR197,Study1,0
198,ERR198,ERR198,Study1,1
199,ERR199,ERR199,Study1,0
200,ERR200,ERR200,Study1,0
201,ERR201,ERR201,Study1,0
202,ERR202,ERR202,Study1,0
203,ERR203,ERR203,Study1,0
204,ERR204,ERR204,Study1,1
205,ERR205,ERR205,Study1,0
206,ERR206,ERR206,Study1,1
207,ERR207,ERR207,Study1,0
208,ERR208,ERR208,Study1,0
209,ERR209,ERR209,Study1,0
210,ERR210,ERR210,Study1,0
211,ERR211,ERR211,Study1,0
212,ERR212,ERR212,Study1,0
213,ERR213,ERR213,Study1,0
214,ERR214,ERR214,Study1,0
215,ERR215,ERR215,Study1,0
216,ERR216,ERR216,Study1,0
217,ERR217,ERR217,Study1,0
218,ERR218,ERR218,Study1,0
219,ERR219,ERR219,Study1,0
220,ERR220,ERR220,Study1,0
221,ERR221,ERR221,Study1,0
222,ERR222,ERR222,Study1,0
223,ERR223,ERR223,Study1,0
224,ERR224,ERR224,Study1,0
225,ERR225,ERR225,Study1,0
226,ERR226,ERR226,Study1,0
227,ERR227,ERR227,Study1,0
228,ERR228,ERR228,Study1,0
229,ERR229,ERR229,Study1,0
230,ERR230,ERR230,Study1,0
231,ERR231,ERR231,Study1,0
232,ERR232,ERR232,Study1,0
233,ERR233,ERR233,Study1,0
234,ERR234,ERR234,Study1,0
235,ERR235,ERR235,Study1,0
236,ERR236,ERR236,Study1,0
237,ERR237,ERR237,Study1,0
238,ERR238,ERR238,Study1,0
239,ERR239,ERR239,Study1,0
240,ERR240,ERR240,Study1,0
241,ERR241,ERR241,Study1,0
242,ERR242,ERR242,Study1,0
243,ERR243,ERR243,Study1,0
244,ERR244,ERR244,Study1,0
245,ERR245,ERR245,Study1,0
246,ERR246,ERR246,Study1,1
247,ERR247,ERR247,Study1,0
248,ERR248,ERR248,Study1,0
249,ERR249,ERR249,Study1,1
250,ERR250,ERR250,Study1,0
251,ERR251,ERR251,Study2,0
252,ERR252,ERR252,Study2,0
253,ERR253,ERR253,Study2,0
254,ERR254,ERR254,Study2,0
255,ERR255,ERR255,Study2,1
256,ERR256,ERR256,Study2,0
257,ERR257,ERR257,Study2,0
258,ERR258,ERR258,Study2,0
259,ERR259,ERR259,Study2,0
260,ERR260,ERR260,Study2,0
261,ERR261,ERR261,Study2,0
262,ERR262,ERR262,Study2,0
263,ERR263,ERR263,Study2,0
264,ERR264,ERR264,Study2,0
265,ERR265,ERR265,Study2,1
266,ERR266,ERR266,Study2,1
267,ERR267,ERR267,Study2,0
268,ERR268,ERR268,Study2,0
269,ERR269,ERR269,Study2,0
270,ERR270,ERR270,Study2,0
271,ERR271,ERR271,Study2,0
272,ERR272,ERR272,Study2,0
273,ERR273,ERR273,Study2,0
274,ERR274,ERR274,Study2,0
275,ERR275,ERR275,Study2,0
276,ERR276,ERR276,Study2,0
277,ERR277,ERR277,Study2,0
278,ERR278,ERR278,Study2,0
279,ERR279,ERR279,Study2,1
280,ERR280,ERR280,Study2,0
281,ERR281,ERR281,Study2,0
282,ERR282,ERR282,Study2,0
283,ERR283,ERR283,Study2,0
284,ERR284,ERR284,Study2,
285,ERR285,ERR285,Study2,0
286,ERR286,ERR286,Study2,0
287,ERR287,ERR287,Study2,0
288,ERR288,ERR288,Study2,0
289,ERR289,ERR289,Study2,0
290,ERR290,ERR290,Study2,0
291,ERR291,ERR291,Study2,0
292,ERR292,ERR292,Study2,0
293,ERR293,ERR293,Study2,0
294,ERR294,ERR294,Study2,0
295,ERR295,ERR295,Study2,1
296,ERR296,ERR296,Study2,0
297,ERR297,ERR297,Study2,0
298,ERR298,ERR298,Study2,0
299,ERR299,ERR299,Study2,0
300,ERR300,ERR300,Study2,0
301,ERR301,ERR301,Study2,0
302,ERR302,ERR302,Study2,0
303,ERR303,ERR303,Study2,0
304,ERR304,ERR304,Study2,0
305,ERR305,ERR305,Study2,0
306,ERR306,ERR306,Study2,0
307,ERR307,ERR307,Study2,0
308,ERR308,ERR308,Study2,0
309,ERR309,ERR309,Study2,0
310,ERR310,ERR310,Study2,0
311,ERR311,ERR311,Study2,0
312,ERR312,ERR312,Study2,0
313,ERR313,ERR313,Study2,0
314,ERR314,ERR314,Study2,0
315,ERR315,ERR315,Study2,0
316,ERR316,ERR316,Study2,0
317,ERR317,ERR317,Study2,0
318,ERR318,ERR318,Study2,0
319,ERR319,ERR319,Study2,0
320,ERR320,ERR320,Study2,0
321,ERR321,ERR321,Study2,0
322,ERR322,ERR322,Study2,0
323,ERR323,ERR323,Study2,1
324,ERR324,ERR324,Study2,0
325,ERR325,ERR325,Study2,0
326,ERR326,ERR326,Study2,0
327,ERR327,ERR327,Study2,0
328,ERR328,ERR328,Study2,0
329,ERR329,ERR329,Study2,1
330,ERR330,ERR330,Study2,0
331,ERR331,ERR331,Study2,0
332,ERR332,ERR332,Study2,0
333,ERR333,ERR333,Study2,0
334,ERR334,ERR334,Study2,0
335,ERR335,ERR335,Study2,0
336,ERR336,ERR336,Study2,0
337,ERR337,ERR337,Study2,0
338,ERR338,ERR338,Study2,0
339,ERR339,ERR339,Study2,0
340,ERR340,ERR340,Study2,0
341,ERR341,ERR341,Study2,0
342,ERR342,ERR342,Study2,0
343,ERR343,ERR343,Study2,0
344,ERR344,ERR344,Study2,0
345,ERR345,ERR345,Study2,0
346,ERR346,ERR346,Study2,0
347,ERR347,ERR347,Study2,0
348,ERR348,ERR348,Study2,0
349,ERR349,ERR349,Study2,0
350,ERR350,ERR350,Study2,0
351,ERR351,ERR351,Study2,0
352,ERR352,ERR352,Study2,0
353,ERR353,ERR353,Study2,0
354,ERR354,ERR354,Study2,0
355,ERR355,ERR355,Study2,0
356,ERR356,ERR356,Study2,0
357,ERR357,ERR357,Study2,0
358,ERR358,ERR358,Study2,0
359,ERR359,ERR359,Study2,0
360,ERR360,ERR360,Study2,1
361,ERR361,ERR361,Study2,0
362,ERR362,ERR362,Study2,0
363,ERR363,ERR363,Study2,0
364,ERR364,ERR364,Study2,0
365,ERR365,ERR365,Study2,0
366,ERR366,ERR366,Study2,0
367,ERR367,ERR367,Study2,0
368,ERR368,ERR368,Study2,0
369,ERR369,ERR369,Study2,0
370,ERR370,ERR370,Study2,0
371,ERR371,ERR371,Study2,0
372,ERR372,ERR372,Study2,0
373,ERR373,ERR373,Study2,0
374,ERR374,ERR374,Study2,0
375,ERR375,ERR375,Study2,0
376,ERR376,ERR376,Study2,0
377,ERR377,ERR377,Study2,0
378,ERR378,ERR378,Study2,0
379,ERR379,ERR379,Study2,0
380,ERR380,ERR380,Study2,0
381,ERR381,ERR381,Study2,0
382,ERR382,ERR382,Study2,0
383,ERR383,ERR383,Study2,1
384,ERR384,ERR384,Study2,0
385,ERR385,ERR385,Study2,0
386,ERR386,ERR386,Study2,0
387,ERR387,ERR387,Study2,0
388,ERR388,ERR388,Study2,0
389,ERR389,ERR389,Study2,0
390,ERR390,ERR390,Study2,0
391,ERR391,ERR391,Study2,0
392,ERR392,ERR392,Study2,1
393,ERR393,ERR393,Study2,0
394,ERR394,ERR394,Study2,0
395,ERR395,ERR395,Study2,0
396,ERR396,ERR396,Study2,0
397,ERR397,ERR397,Study2,0
398,ERR398,ERR398,Study2,1
399,ERR399,ERR399,Study2,0
400,ERR400,ERR400,Study2,0
401,ERR401,ERR401,Study2,0
402,ERR402,ERR402,Study2,0
403,ERR403,ERR403,Study2,0
404,ERR404,ERR404,Study2,0
405,ERR405,ERR405,Study2,0
406,ERR406,ERR406,Study2,0
407,ERR407,ERR407,Study2,0
408,ERR408,ERR408,Study2,0
409,ERR409,ERR409,Study2,0
410,ERR410,ERR410,Study2,0
411,ERR411,ERR411,Study2,1
412,ERR412,ERR412,Study2,0
413,ERR413,ERR413,Study2,0
414,ERR414,ERR414,Study2,0
415,ERR415,ERR415,Study2,0
416,ERR416,ERR416,Study2,0
417,ERR417,ERR417,Study2,0
418,ERR418,ERR418,Study2,0
419,ERR419,ERR419,Study2,0
420,ERR420,ERR420,Study2,0
421,ERR421,ERR421,Study2,1
422,ERR422,ERR422,Study2,0
423,ERR423,ERR423,Study2,0
424,ERR424,ERR424,Study2,1
425,ERR425,ERR425,Study2,0
426,ERR426,ERR426,Study2,0
427,ERR427,ERR427,Study2,0
428,ERR428,ERR428,Study2,0
429,ERR429,ERR429,Study2,0
430,ERR430,ERR430,Study2,0
431,ERR431,ERR431,Study2,0
432,ERR432,ERR432,Study2,0
433,ERR433,ERR433,Study2,0
434,ERR434,ERR434,Study2,0
435,ERR435,ERR435,Study2,0
436,ERR436,ERR436,Study2,0
437,ERR437,ERR437,Study2,0
438,ERR438,ERR438,Study2,0
439,ERR439,ERR439,Study2,0
440,ERR440,ERR440,Study2,0
441,ERR441,ERR441,Study2,0
442,ERR442,ERR442,Study2,0
443,ERR443,ERR443,Study2,0
444,ERR444,ERR444,Study2,1
445,ERR445,ERR445,Study2,0
446,ERR446,ERR446,Study2,0
447,ERR447,ERR447,Study2,0
448,ERR448,ERR448,Study2,0
449,ERR449,ERR449,Study2,0
450,ERR450,ERR450,Study2,0
451,ERR451,ERR451,Study2,0
452,ERR452,ERR452,Study2,0
453,ERR453,ERR453,Study2,0
454,ERR454,ERR454,Study2,0
455,ERR455,ERR455,Study2,0
456,ERR456,ERR456,Study2,0
457,ERR457,ERR457,Study2,0
458,ERR458,ERR458,Study2,0
459,ERR459,ERR459,Study2,0
460,ERR460,ERR460,Study2,0
461,ERR461,ERR461,Study2,0
462,ERR462,ERR462,Study2,0
463,ERR463,ERR463,Study2,0
464,ERR464,ERR464,Study2,0
465,ERR465,ERR465,Study2,0
466,ERR466,ERR466,Study2,0
467,ERR467,ERR467,Study2,0
468,ERR468,ERR468,Study2,0
469,ERR469,ERR469,Study2,0
470,ERR470,ERR470,Study2,0
471,ERR471,ERR471,Study2,0
472,ERR472,ERR472,Study2,0
473,ERR473,ERR473,Study2,0
474,ERR474,ERR474,Study2,0
475,ERR475,ERR475,Study2,0
476,ERR476,ERR476,Study2,0
477,ERR477,ERR477,Study2,0
478,ERR478,ERR478,Study2,0
479,ERR479,ERR479,Study2,0
480,ERR480,ERR480,Study2,0
481,ERR481,ERR481,Study2,0
482,ERR482,ERR482,Study2,0
483,ERR483,ERR483,Study2,0
484,ERR484,ERR484,Study2,0
485,ERR485,ERR485,Study2,0
486,ERR486,ERR486,Study2,0
487,ERR487,ERR487,Study2,0
488,ERR488,ERR488,Study2,0
489,ERR489,ERR489,Study2,0
490,ERR490,ERR490,Study2,0
491,ERR491,ERR491,Study2,0
492,ERR492,ERR492,Study2,0
493,ERR493,ERR493,Study2,0
494,ERR494,ERR494,Study2,0
495,ERR495,ERR495,Study2,0
496,ERR496,ERR496,Study2,0
497,ERR497,ERR497,Study2,0
498,ERR498,ERR498,Study2,0
499,ERR499,ERR499,Study2,0
500,ERR500,ERR500,Study2,0
501,ERR501,ERR501,Study2,0
502,ERR502,ERR502,Study2,0
503,ERR503,ERR503,Study2,0
504,ERR504,ERR504,Study2,0
505,ERR505,ERR505,Study2,0
506,ERR506,ERR506,Study2,0
507,ERR507,ERR507,Study2,0
508,ERR508,ERR508,Study2,0
509,ERR509,ERR509,Study2,0
510,ERR510,ERR510,Study2,1
511,ERR511,ERR511,Study2,0
512,ERR512,ERR512,Study2,0
513,ERR513,ERR513,Study2,0
514,ERR514,ERR514,Study2,0
515,ERR515,ERR515,Study2,0
516,ERR516,ERR516,Study2,0
517,ERR517,ERR517,Study2,0
518,ERR518,ERR518,Study2,0
519,ERR519,ERR519,Study2,0
520,ERR520,ERR520,Study2,0
521,ERR521,ERR521,Study2,0
522,ERR522,ERR522,Study2,1
523,ERR523,ERR523,Study2,0
524,ERR524,ERR524,Study2,0
525,ERR525,ERR525,Study2,0
526,ERR526,ERR526,Study2,0
527,ERR527,ERR527,Study2,0
528,ERR528,ERR528,Study2,0
529,ERR529,ERR529,Study2,0
530,ERR530,ERR530,Study2,0
531,ERR531,ERR531,Study2,0
532,ERR532,ERR532,Study2,0
533,ERR533,ERR533,Study2,0
534,ERR534,ERR534,Study2,0
535,ERR535,ERR535,Study2,0
536,ERR536,ERR536,Study2,0
537,ERR537,ERR537,Study2,0
538,ERR538,ERR538,Study2,0
539,ERR539,ERR539,Study2,0
540,ERR540,ERR540,Study2,0
541,ERR541,ERR541,Study2,0
542,ERR542,ERR542,Study2,0
543,ERR543,ERR543,Study2,0
544,ERR544,ERR544,Study2,1
545,ERR545,ERR545,Study2,0
546,ERR546,ERR546,Study2,0
547,ERR547,ERR547,Study2,0
548,ERR548,ERR548,Study2,0
549,ERR549,ERR549,Study2,0
550,ERR550,ERR550,Study2,0
551,ERR551,ERR551,Study2,0
552,ERR552,ERR552,Study2,1
553,ERR553,ERR553,Study2,0
554,ERR554,ERR554,Study2,0
555,ERR555,ERR555,Study2,0
556,ERR556,ERR556,Study2,0
557,ERR557,ERR557,Study2,0
558,ERR558,ERR558,Study2,0
559,ERR559,ERR559,Study2,0
560,ERR560,ERR560,Study2,0
561,ERR561,ERR561,Study2,1
562,ERR562,ERR562,Study2,0
563,ERR563,ERR563,Study2,0
564,ERR564,ERR564,Study2,1
565,ERR565,ERR565,Study2,0
566,ERR566,ERR566,Study2,1
567,ERR567,ERR567,Study2,0
568,ERR568,ERR568,Study2,1
569,ERR569,ERR569,Study2,0
570,ERR570,ERR570,Study2,0
571,ERR571,ERR571,Study2,0
572,ERR572,ERR572,Study2,0
573,ERR573,ERR573,Study2,0
574,ERR574,ERR574,Study2,0
575,ERR575,ERR575,Study2,0
576,ERR576,ERR576,Study2,0
577,ERR577,ERR577,Study2,1
578,ERR578,ERR578,Study2,1
579,ERR579,ERR579,Study2,0
580,ERR580,ERR580,Study2,0
581,ERR581,ERR581,Study2,1
582,ERR582,ERR582,Study2,0
583,ERR583,ERR583,Study2,0
584,ERR584,ERR584,Study2,0
585,ERR585,ERR585,Study2,1
586,ERR586,ERR586,Study2,0
587,ERR587,ERR587,Study2,0
588,ERR588,ERR588,Study2,0
589,ERR589,ERR589,Study2,0
590,ERR590,ERR590,Study2,0
591,ERR591,ERR591,Study2,0
592,ERR592,ERR592,Study2,0
593,ERR593,ERR593,Study2,1
594,ERR594,ERR594,Study2,0
595,ERR595,ERR595,Study2,0
596,ERR596,ERR596,Study2,0
597,ERR597,ERR597,Study3,0
598,ERR598,ERR598,Study3,0
599,ERR599,ERR599,Study3,1
600,ERR600,ERR600,Study3,0
601,ERR601,ERR601,Study3,1
602,ERR602,ERR602,Study3,1
603,ERR603,ERR603,Study3,1
604,ERR604,ERR604,Study3,1
605,ERR605,ERR605,Study3,0
606,ERR606,ERR606,Study3,0
607,ERR607,ERR607,Study3,0
608,ERR608,ERR608,Study3,0
609,ERR609,ERR609,Study3,1
610,ERR610,ERR610,Study3,1
611,ERR611,ERR611,Study3,0
612,ERR612,ERR612,Study3,0
613,ERR613,ERR613,Study3,0
614,ERR614,ERR614,Study3,0
615,ERR615,ERR615,Study3,0
616,ERR616,ERR616,Study3,0
617,ERR617,ERR617,Study3,0
618,ERR618,ERR618,Study3,0
619,ERR619,ERR619,Study3,0
620,ERR620,ERR620,Study3,0
621,ERR621,ERR621,Study3,0
622,ERR622,ERR622,Study3,0
623,ERR623,ERR623,Study3,0
624,ERR624,ERR624,Study3,0
625,ERR625,ERR625,Study3,0
626,ERR626,ERR626,Study3,0
627,ERR627,ERR627,Study3,0
628,ERR628,ERR628,Study3,0
629,ERR629,ERR629,Study3,0
630,ERR630,ERR630,Study3,
631,ERR631,ERR631,Study3,0
632,ERR632,ERR632,Study3,0
633,ERR633,ERR633,Study3,0
634,ERR634,ERR634,Study3,0
635,ERR635,ERR635,Study3,0
636,ERR636,ERR636,Study3,0
637,ERR637,ERR637,Study3,
638,ERR638,ERR638,Study3,0
639,ERR639,ERR639,Study3,0
640,ERR640,ERR640,Study3,
641,ERR641,ERR641,Study3,0
642,ERR642,ERR642,Study3,0
643,ERR643,ERR643,Study3,0
644,ERR644,ERR644,Study3,0
645,ERR645,ERR645,Study3,0
646,ERR646,ERR646,Study3,0
647,ERR647,ERR647,Study3,0
648,ERR648,ERR648,Study3,0
649,ERR649,ERR649,Study3,1
650,ERR650,ERR650,Study3,0
651,ERR651,ERR651,Study3,0
652,ERR652,ERR652,Study3,0
653,ERR653,ERR653,Study3,0
654,ERR654,ERR654,Study3,0
655,ERR655,ERR655,Study3,0
656,ERR656,ERR656,Study3,0
657,ERR657,ERR657,Study3,0
658,ERR658,ERR658,Study3,0
659,ERR659,ERR659,Study3,0
660,ERR660,ERR660,Study3,0
661,ERR661,ERR661,Study3,0
662,ERR662,ERR662,Study3,0
663,ERR663,ERR663,Study3,0
664,ERR664,ERR664,Study3,0
665,ERR665,ERR665,Study3,1
666,ERR666,ERR666,Study3,0
667,ERR667,ERR667,Study3,0
668,ERR668,ERR668,Study3,
669,ERR669,ERR669,Study3,1
670,ERR670,ERR670,Study3,0
671,ERR671,ERR671,Study3,0
672,ERR672,ERR672,Study3,0
673,ERR673,ERR673,Study3,0
674,ERR674,ERR674,Study3,
675,ERR675,ERR675,Study3,0
676,ERR676,ERR676,Study3,0
677,ERR677,ERR677,Study3,1
678,ERR678,ERR678,Study3,0
679,ERR679,ERR679,Study3,0
680,ERR680,ERR680,Study3,0
681,ERR681,ERR681,Study3,0
682,ERR682,ERR682,Study3,0
683,ERR683,ERR683,Study3,0
684,ERR684,ERR684,Study3,
685,ERR685,ERR685,Study3,0
686,ERR686,ERR686,Study3,0
687,ERR687,ERR687,Study3,0
688,ERR688,ERR688,Study3,0
689,ERR689,ERR689,Study3,0
690,ERR690,ERR690,Study3,
691,ERR691,ERR691,Study3,0
692,ERR692,ERR692,Study3,0
693,ERR693,ERR693,Study3,0
694,ERR694,ERR694,Study3,0
695,ERR695,ERR695,Study3,0
696,ERR696,ERR696,Study3,0
697,ERR697,ERR697,Study3,0
698,ERR698,ERR698,Study3,0
699,ERR699,ERR699,Study3,0
700,ERR700,ERR700,Study3,0
701,ERR701,ERR701,Study3,0
702,ERR702,ERR702,Study3,0
703,ERR703,ERR703,Study3,0
704,ERR704,ERR704,Study3,0
705,ERR705,ERR705,Study3,0
706,ERR706,ERR706,Study3,0
707,ERR707,ERR707,Study3,0
708,ERR708,ERR708,Study3,0
709,ERR709,ERR709,Study3,0
710,ERR710,ERR710,Study3,0
711,ERR711,ERR711,Study3,
712,ERR712,ERR712,Study3,0
713,ERR713,ERR713,Study3,0
714,ERR714,ERR714,Study3,0
715,ERR715,ERR715,Study3,
716,ERR716,ERR716,Study3,0
717,ERR717,ERR717,Study3,0
718,ERR718,ERR718,Study3,
719,ERR719,ERR719,Study3,0
720,ERR720,ERR720,Study3,
721,ERR721,ERR721,Study3,0
722,ERR722,ERR722,Study3,0
723,ERR723,ERR723,Study3,0
724,ERR724,ERR724,Study3,0
725,ERR725,ERR725,Study3,0
726,ERR726,ERR726,Study3,0
727,ERR727,ERR727,Study3,0
728,ERR728,ERR728,Study3,1
729,ERR729,ERR729,Study3,0
730,ERR730,ERR730,Study3,
731,ERR731,ERR731,Study3,0
732,ERR732,ERR732,Study3,0
733,ERR733,ERR733,Study3,0
734,ERR734,ERR734,Study3,0
735,ERR735,ERR735,Study3,0
736,ERR736,ERR736,Study3,0
737,ERR737,ERR737,Study3,0
738,ERR738,ERR738,Study3,0
739,ERR739,ERR739,Study3,0
740,ERR740,ERR740,Study3,0
741,ERR741,ERR741,Study3,0
742,ERR742,ERR742,Study3,0
743,ERR743,ERR743,Study3,0
744,ERR744,ERR744,Study3,0
745,ERR745,ERR745,Study3,
746,ERR746,ERR746,Study3,0
747,ERR747,ERR747,Study3,
748,ERR748,ERR748,Study3,0
749,ERR749,ERR749,Study3,0
750,ERR750,ERR750,Study3,0
751,ERR751,ERR751,Study3,0
752,ERR752,ERR752,Study3,1
753,ERR753,ERR753,Study3,
754,ERR754,ERR754,Study3,1
755,ERR755,ERR755,Study3,0
756,ERR756,ERR756,Study3,0
757,ERR757,ERR757,Study3,0
758,ERR758,ERR758,Study3,0
759,ERR759,ERR759,Study3,0
760,ERR760,ERR760,Study3,0
761,ERR761,ERR761,Study3,0
762,ERR762,ERR762,Study3,0
763,ERR763,ERR763,Study3,0
764,ERR764,ERR764,Study3,0
765,ERR765,ERR765,Study3,0
766,ERR766,ERR766,Study3,0
767,ERR767,ERR767,Study3,0
768,ERR768,ERR768,Study3,0
769,ERR769,ERR769,Study3,0
770,ERR770,ERR770,Study3,0
771,ERR771,ERR771,Study3,0
772,ERR772,ERR772,Study3,0
773,ERR773,ERR773,Study3,0
774,ERR774,ERR774,Study3,0
775,ERR775,ERR775,Study3,0
